section,key,trades,net_pnl,win_rate_pct
scalar,avg_atr,,51.215258,
scalar,avg_duration_minutes,,213.2,
scalar,avg_notional_usdt,,4095.76,
scalar,avg_fee_usdt,,8.1938,
scalar,fee_to_gross_profit_ratio,,0.5179,
by_symbol,BTCUSDT,332,-3313.9139,35.24
by_symbol,ETHUSDT,334,-3259.468,34.43
by_symbol,SOLUSDT,334,-800.5137,35.03
by_hour_utc,0,45,-234.6186,40.0
by_hour_utc,1,48,-124.4333,37.5
by_hour_utc,2,33,-392.028,30.3
by_hour_utc,3,22,-214.0075,31.82
by_hour_utc,4,21,-147.4214,33.33
by_hour_utc,5,25,-212.807,36.0
by_hour_utc,6,40,-164.5132,35.0
by_hour_utc,7,38,-584.2582,31.58
by_hour_utc,8,41,-533.9988,29.27
by_hour_utc,9,42,-50.1763,38.1
by_hour_utc,10,27,11.9757,44.44
by_hour_utc,11,52,-688.437,28.85
by_hour_utc,12,31,-709.7533,22.58
by_hour_utc,13,56,-423.5064,35.71
by_hour_utc,14,75,-884.1943,30.67
by_hour_utc,15,68,-353.6637,35.29
by_hour_utc,16,51,-356.39,31.37
by_hour_utc,17,48,257.7627,43.75
by_hour_utc,18,45,-413.8326,28.89
by_hour_utc,19,34,83.0028,50.0
by_hour_utc,20,35,172.0285,57.14
by_hour_utc,21,33,-473.7349,27.27
by_hour_utc,22,47,-217.5934,36.17
by_hour_utc,23,43,-719.2974,27.91
by_weekday,Fri,143,-1765.6196,27.97
by_weekday,Mon,145,-757.9304,36.55
by_weekday,Sat,116,-279.7042,41.38
by_weekday,Sun,145,-1653.0491,33.79
by_weekday,Thu,145,-775.9477,35.17
by_weekday,Tue,148,-897.2297,36.49
by_weekday,Wed,158,-1244.415,34.18
by_regime,RANGE,339,-3258.5355,34.51
by_regime,TREND_DOWN,121,-469.7625,40.5
by_regime,TREND_UP,540,-3645.5976,33.89
by_score_bucket,000-019,18,-77.863,38.89
by_score_bucket,020-039,130,-1507.1356,33.85
by_score_bucket,040-059,356,-3157.45,34.27
by_score_bucket,060-079,215,-1315.7747,34.88
by_score_bucket,080-099,196,-1101.5397,34.18
by_score_bucket,100-119,85,-214.1326,40.0
