symbol,side,entry_price,exit_price,quantity,stop,target,risk_usdt,gross_pnl,fee_usdt,pnl,result,close_reason,opened_at,closed_at,balance_after
BTCUSDT,LONG,35910.0,35625.19285714286,0.17555739472826243,35625.19285714286,36479.614285714284,50.0,-50.0,12.55853209,-62.55853209,LOSS,STOP_LOSS,2026-07-26T11:15:30.898848+00:00,2026-07-26T11:15:30.911260+00:00,9937.44146791
ETHUSDT,SHORT,1893.91,1903.9342857142858,4.95668307505842,1903.9342857142858,1873.8614285714286,49.68720733954999,-49.68720734,18.82471049,-68.51191783,LOSS,STOP_LOSS,2026-07-26T11:15:30.913199+00:00,2026-07-26T11:15:30.922108+00:00,9868.92955008
SOLUSDT,LONG,43.402,42.922535714285715,102.91621132299423,42.922535714285715,44.36092857142857,49.3446477504,-49.34464775,8.88419416,-58.22884191,LOSS,STOP_LOSS,2026-07-26T11:15:30.923882+00:00,2026-07-26T11:15:30.932392+00:00,9810.70070817
BTCUSDT,SHORT,35626.7,35956.33571428571,0.14881125258876723,35956.33571428571,34967.42857142857,49.053503540849995,-49.05350354,10.65236121,-59.70586475,LOSS,STOP_LOSS,2026-07-26T11:15:30.934041+00:00,2026-07-26T11:15:30.943454+00:00,9750.99484342
ETHUSDT,LONG,1898.71,1920.5585714285717,4.462989662870376,1887.7857142857142,1920.5585714285717,48.7549742171,97.50994843,17.04535615,80.46459228,WIN,TAKE_PROFIT,2026-07-26T11:15:30.945200+00:00,2026-07-26T11:15:30.953841+00:00,9831.4594357
SOLUSDT,SHORT,43.218,43.71942857142857,98.03449579757849,43.71942857142857,42.215142857142865,49.157297178499995,-49.15729718,8.52286698,-57.68016415,LOSS,STOP_LOSS,2026-07-26T11:15:30.955625+00:00,2026-07-26T11:15:30.964637+00:00,9773.77927155
BTCUSDT,LONG,35988.4,36528.27142857143,0.18103901696395955,35718.46428571429,36528.27142857143,48.86889635774999,97.73779272,13.12834691,84.60944581,WIN,TAKE_PROFIT,2026-07-26T11:15:30.966373+00:00,2026-07-26T11:15:30.975326+00:00,9858.38871736
ETHUSDT,SHORT,1920.49,1934.3425,3.558342796376087,1934.3425,1892.7849999999999,49.29194358679999,-49.29194359,13.71681546,-63.00875904,LOSS,STOP_LOSS,2026-07-26T11:15:30.977207+00:00,2026-07-26T11:15:30.989004+00:00,9795.37995832
SOLUSDT,LONG,43.699,44.77064285714285,91.40526522460843,43.16317857142857,44.77064285714285,48.97689979159999,97.95379958,8.08659117,89.86720841,WIN,TAKE_PROFIT,2026-07-26T11:15:30.991120+00:00,2026-07-26T11:15:31.001060+00:00,9885.24716673
BTCUSDT,SHORT,36386.5,36726.025,0.14557465822443075,36726.025,35707.45,49.42623583364999,-49.42623583,10.64333084,-60.06956667,LOSS,STOP_LOSS,2026-07-26T11:15:31.002871+00:00,2026-07-26T11:15:31.011141+00:00,9825.17760006
ETHUSDT,LONG,1934.93,1954.5392857142858,5.0104719484515226,1925.1253571428572,1954.5392857142858,49.125888000299994,98.251776,19.48807675,78.76369925,WIN,TAKE_PROFIT,2026-07-26T11:15:31.013301+00:00,2026-07-26T11:15:31.022258+00:00,9903.94129931
SOLUSDT,SHORT,44.92,45.49267857142857,86.47033251658246,45.49267857142857,43.77464285714286,49.519706496549986,-49.5197065,7.81801438,-57.33772088,LOSS,STOP_LOSS,2026-07-26T11:15:31.024342+00:00,2026-07-26T11:15:31.032707+00:00,9846.60357843
BTCUSDT,LONG,36744.2,37436.6,0.14220975705415892,36397.99999999999,37436.6,49.233017892149995,98.46603578,10.54923355,87.91680224,WIN,TAKE_PROFIT,2026-07-26T11:15:31.034915+00:00,2026-07-26T11:15:31.045710+00:00,9934.52038067
ETHUSDT,SHORT,1990.0,2008.9053571428572,2.627435257001605,2008.9053571428572,1952.1892857142857,49.67260190335,-49.6726019,10.50686492,-60.17946683,LOSS,STOP_LOSS,2026-07-26T11:15:31.047757+00:00,2026-07-26T11:15:31.056024+00:00,9874.34091384
SOLUSDT,LONG,46.24,47.581,73.63416043131986,45.569500000000005,47.581,49.37170456919999,98.74340914,6.90843057,91.83497857,WIN,TAKE_PROFIT,2026-07-26T11:15:31.058664+00:00,2026-07-26T11:15:31.069588+00:00,9966.17589241
BTCUSDT,SHORT,37634.1,37961.43214285714,0.15223338297026723,37961.43214285714,36979.43571428571,49.830879462049985,-49.83087946,11.5081636,-61.33904306,LOSS,STOP_LOSS,2026-07-26T11:15:31.071423+00:00,2026-07-26T11:15:31.080904+00:00,9904.83684935
ETHUSDT,LONG,2036.54,2011.2146428571427,1.9555177037540001,2011.2146428571427,2087.1907142857144,49.52418424674999,-49.52418425,7.91545586,-57.43964011,LOSS,STOP_LOSS,2026-07-26T11:15:31.083334+00:00,2026-07-26T11:15:31.092350+00:00,9847.39720924
SOLUSDT,SHORT,47.805,48.7245,53.54756503121255,48.7245,45.966,49.23698604619999,-49.23698605,5.16891968,-54.40590572,LOSS,STOP_LOSS,2026-07-26T11:15:31.094533+00:00,2026-07-26T11:15:31.103376+00:00,9792.99130352
BTCUSDT,LONG,37922.4,37534.33928571429,0.1261785970984655,37534.33928571429,38698.52142857143,48.964956517599994,-48.96495652,9.5210255,-58.48598202,LOSS,STOP_LOSS,2026-07-26T11:15:31.105347+00:00,2026-07-26T11:15:31.113689+00:00,9734.5053215
ETHUSDT,SHORT,2017.67,2048.7157142857145,1.5677695851854396,2048.7157142857145,1955.5785714285714,48.6725266075,-48.67252661,6.37515584,-55.04768245,LOSS,STOP_LOSS,2026-07-26T11:15:31.115684+00:00,2026-07-26T11:15:31.123718+00:00,9679.45763905
SOLUSDT,LONG,48.44,47.528321428571424,53.08591175880426,47.528321428571424,50.263357142857146,48.39728819524999,-48.3972882,5.09456584,-53.49185404,LOSS,STOP_LOSS,2026-07-26T11:15:31.125737+00:00,2026-07-26T11:15:31.134062+00:00,9625.96578501
BTCUSDT,SHORT,37365.2,36394.12142857142,0.09912653896634807,37850.739285714284,36394.12142857142,48.12982892505,96.25965785,7.31150625,88.9481516,WIN,TAKE_PROFIT,2026-07-26T11:15:31.136802+00:00,2026-07-26T11:15:31.145378+00:00,9714.91393661
ETHUSDT,LONG,2044.96,2010.3582142857142,1.403816845874386,2010.3582142857142,2114.1635714285717,48.574569683049994,-48.57456968,5.69292402,-54.26749371,LOSS,STOP_LOSS,2026-07-26T11:15:31.147656+00:00,2026-07-26T11:15:31.156119+00:00,9660.6464429
SOLUSDT,SHORT,46.288,44.00392857142857,42.29572824236163,47.430035714285715,44.00392857142857,48.30323221449999,96.60646443,3.81896287,92.78750156,WIN,TAKE_PROFIT,2026-07-26T11:15:31.158348+00:00,2026-07-26T11:15:31.166518+00:00,9753.43394446
BTCUSDT,LONG,36622.1,36000.275,0.0784258750006835,36000.275,37865.75,48.7671697223,-48.76716972,5.6954733,-54.46264303,LOSS,STOP_LOSS,2026-07-26T11:15:31.168730+00:00,2026-07-26T11:15:31.176964+00:00,9698.97130143
ETHUSDT,SHORT,2004.76,2048.7185714285715,1.1031945518509305,2048.7185714285715,1916.8428571428572,48.49485650715,-48.49485651,4.47177548,-52.96663198,LOSS,STOP_LOSS,2026-07-26T11:15:31.179257+00:00,2026-07-26T11:15:31.188239+00:00,9646.00466945
SOLUSDT,LONG,44.379,47.81357142857143,28.085031480804407,42.66171428571428,47.81357142857143,48.23002334725,96.46004669,2.58923127,93.87081542,WIN,TAKE_PROFIT,2026-07-26T11:15:31.190549+00:00,2026-07-26T11:15:31.200706+00:00,9739.87548487
BTCUSDT,SHORT,36293.1,37051.33928571428,0.06422692458947661,37051.33928571428,34776.62142857143,48.69937742435,-48.69937742,4.71068777,-53.4100652,LOSS,STOP_LOSS,2026-07-26T11:15:31.202942+00:00,2026-07-26T11:15:31.213980+00:00,9686.46541967
ETHUSDT,LONG,2069.02,2116.8335714285713,2.025882010119357,2045.113214285714,2116.8335714285713,48.432327098349994,96.8646542,8.48004545,88.38460875,WIN,TAKE_PROFIT,2026-07-26T11:15:31.216215+00:00,2026-07-26T11:15:31.224748+00:00,9774.85002842
SOLUSDT,SHORT,47.907,48.79114285714285,55.27868007670054,48.79114285714285,46.13871428571428,48.8742501421,-48.87425014,5.3453457,-54.21959585,LOSS,STOP_LOSS,2026-07-26T11:15:31.227157+00:00,2026-07-26T11:15:31.236734+00:00,9720.63043257
BTCUSDT,LONG,36973.5,37339.24285714285,0.26577772450586074,36790.62857142857,37339.24285714285,48.60315216285,97.20630433,19.7506717,77.45563263,WIN,TAKE_PROFIT,2026-07-26T11:15:31.239070+00:00,2026-07-26T11:15:31.247965+00:00,9798.0860652
ETHUSDT,SHORT,2096.32,2128.3010714285715,1.5318570684981083,2128.3010714285715,2032.3578571428573,48.990430326,-48.99043033,6.47151565,-55.46194598,LOSS,STOP_LOSS,2026-07-26T11:15:31.250157+00:00,2026-07-26T11:15:31.258965+00:00,9742.62411922
SOLUSDT,LONG,48.866,48.050535714285715,59.73666958747424,48.050535714285715,50.49692857142857,48.713120596100005,-48.7131206,5.78947107,-54.50259167,LOSS,STOP_LOSS,2026-07-26T11:15:31.261249+00:00,2026-07-26T11:15:31.269244+00:00,9688.12152755
BTCUSDT,SHORT,37282.5,36701.4,0.16672038422904908,37573.049999999996,36701.4,48.440607637750006,96.88121528,12.33462423,84.54659104,WIN,TAKE_PROFIT,2026-07-26T11:15:31.271565+00:00,2026-07-26T11:15:31.284205+00:00,9772.66811859
ETHUSDT,LONG,2131.13,2096.887142857143,1.4269644728854813,2096.887142857143,2199.6157142857146,48.86334059295001,-48.86334059,6.03323025,-54.89657085,LOSS,STOP_LOSS,2026-07-26T11:15:31.286435+00:00,2026-07-26T11:15:31.294855+00:00,9717.77154774
SOLUSDT,SHORT,47.664,48.56239285714286,54.08419863580196,48.56239285714286,45.86721428571428,48.58885773870001,-48.58885774,5.20432735,-53.79318508,LOSS,STOP_LOSS,2026-07-26T11:15:31.297262+00:00,2026-07-26T11:15:31.308393+00:00,9663.97836266
BTCUSDT,LONG,36819.9,37107.79285714286,0.3356796850942582,36675.953571428574,37107.79285714286,48.31989181330001,96.63978363,24.81602466,71.82375897,WIN,TAKE_PROFIT,2026-07-26T11:15:31.310847+00:00,2026-07-26T11:15:31.322775+00:00,9735.80212163
ETHUSDT,SHORT,2104.35,2133.618214285714,1.6632039841224662,2133.618214285714,2045.8135714285713,48.67901060815001,-48.67901061,7.04860562,-55.72761623,LOSS,STOP_LOSS,2026-07-26T11:15:31.325173+00:00,2026-07-26T11:15:31.333867+00:00,9680.0745054
SOLUSDT,LONG,49.218,51.612857142857145,40.420258612383684,48.02057142857143,51.612857142857145,48.40037252700001,96.80074505,4.07560932,92.72513573,WIN,TAKE_PROFIT,2026-07-26T11:15:31.336231+00:00,2026-07-26T11:15:31.344786+00:00,9772.79964113
BTCUSDT,SHORT,37162.1,36773.021428571425,0.2511780488256508,37356.639285714286,36773.021428571425,48.863998205650006,97.72799641,18.57087954,79.15711687,WIN,TAKE_PROFIT,2026-07-26T11:15:31.347213+00:00,2026-07-26T11:15:31.355857+00:00,9851.956758
ETHUSDT,LONG,2134.26,2117.109642857143,2.872230786780789,2117.109642857143,2168.5607142857143,49.25978379,-49.25978379,12.21091477,-61.47069856,LOSS,STOP_LOSS,2026-07-26T11:15:31.358304+00:00,2026-07-26T11:15:31.366551+00:00,9790.48605944
