symbol,side,entry_price,exit_price,quantity,stop,target,risk_usdt,gross_pnl,fee_usdt,pnl,result,close_reason,balance_after
BTCUSDT,SHORT,87961.2,86903.74454792663,0.09456663143958394,88489.92772603668,86903.74454792663,50.0,100.0,16.53638876,83.46361124,WIN,TAKE_PROFIT,10083.46361124
BTCUSDT,SHORT,85301.1,83722.90463334277,0.06389236608011158,86090.19768332862,83722.90463334277,50.4173180562,100.83463611,10.79934358,90.03529253,WIN,TAKE_PROFIT,10173.49890377
SOLUSDT,SHORT,116.92,112.5925523129665,23.509236019774985,119.08372384351675,112.5925523129665,50.86749451885,101.73498904,5.39566476,96.33932428,WIN,TAKE_PROFIT,10269.83822805
BTCUSDT,SHORT,81988.5,83091.71007275552,0.04654525226731605,83091.71007275552,79782.07985448895,51.34919114024999,-51.34919114,7.68370002,-59.03289116,LOSS,STOP_LOSS,10210.80533689
ETHUSDT,SHORT,2761.09,2664.014303437708,1.051839512718597,2809.6278482811463,2664.014303437708,51.054026684449994,102.10805337,5.70633907,96.4017143,WIN,TAKE_PROFIT,10307.20705119
BTCUSDT,SHORT,82468.3,83697.34797786384,0.04193167084129862,83697.34797786384,80010.20404427234,51.53603525594999,-51.53603526,6.96760326,-58.50363851,LOSS,STOP_LOSS,10248.70341268
BTCUSDT,LONG,83897.3,82503.56092725006,0.036766937273483444,82503.56092725006,86684.77814549988,51.24351706339999,-51.24351706,6.11805002,-57.36156708,LOSS,STOP_LOSS,10191.3418456
BTCUSDT,SHORT,82619.1,81619.0466751864,0.10190798423173571,83119.12666240681,81619.0466751864,50.956709227999994,101.91341846,16.73717846,85.17623999,WIN,TAKE_PROFIT,10276.51808559
BTCUSDT,SHORT,81568.6,80107.05714117512,0.07031280693234375,82299.37142941245,80107.05714117512,51.38259042794999,102.76518086,11.36786927,91.39731159,WIN,TAKE_PROFIT,10367.91539718
BTCUSDT,SHORT,80320.9,77969.17674141204,0.04408646025555404,81496.76162929398,77969.17674141204,51.839576985899996,103.67915397,6.97844918,96.70070479,WIN,TAKE_PROFIT,10464.61610197
BTCUSDT,SHORT,78399.9,75419.05606072383,0.035106219296106904,79890.32196963807,75419.05606072383,52.323080509849994,104.64616102,5.400002,99.24615902,WIN,TAKE_PROFIT,10563.86226099
BTCUSDT,SHORT,75045.8,76556.92190158552,0.03495370641477048,76556.92190158552,72023.55619682895,52.81931130495,-52.8193113,5.29907703,-58.11838834,LOSS,STOP_LOSS,10505.74387265
BTCUSDT,SHORT,76142.1,77870.34068771642,0.03039433091501742,77870.34068771642,72685.61862456717,52.52871936324999,-52.52871936,4.68110509,-57.20982445,LOSS,STOP_LOSS,10448.5340482
ETHUSDT,LONG,2307.61,2257.163988104275,1.0356154684534622,2257.163988104275,2408.5020237914496,52.242670241,-52.24267024,4.72735055,-56.97002079,LOSS,STOP_LOSS,10391.56402741
BTCUSDT,SHORT,77164.5,77969.9972086482,0.06450403499752223,77969.9972086482,75553.5055827036,51.95782013704999,-51.95782014,10.00680104,-61.96462117,LOSS,STOP_LOSS,10329.59940624
BTCUSDT,SHORT,77700.0,75785.40404835157,0.053951850244676504,78657.29797582421,75785.40404835157,51.64799703119999,103.29599406,8.28082153,95.01517253,WIN,TAKE_PROFIT,10424.61457877
ETHUSDT,SHORT,2221.12,2116.6967620230394,0.9983040921475785,2273.33161898848,2116.6967620230394,52.123072893849994,104.24614579,4.33046022,99.91568556,WIN,TAKE_PROFIT,10524.53026433
BTCUSDT,SHORT,73111.7,74421.08749277428,0.04018875360582119,74421.08749277428,70492.92501445141,52.62265132164999,-52.62265132,5.92915885,-58.55181017,LOSS,STOP_LOSS,10465.97845416
BTCUSDT,SHORT,74523.6,76061.00088614757,0.03403789651892882,76061.00088614757,71448.79822770489,52.329892270799995,-52.32989227,5.12558306,-57.45547533,LOSS,STOP_LOSS,10408.52297883
BTCUSDT,SHORT,75803.5,72872.5302657949,0.03551221582863894,77268.98486710255,72872.5302657949,52.04261489414999,104.08522979,5.27981528,98.80541451,WIN,TAKE_PROFIT,10507.32839334
BTCUSDT,SHORT,73570.0,70472.68832069465,0.03392402664395897,75118.65583965268,70472.68832069465,52.53664196669999,105.07328393,4.886508,100.18677594,WIN,TAKE_PROFIT,10607.51516928
ETHUSDT,SHORT,2093.48,1970.4259655589337,0.8620209176774452,2155.0070172205333,1970.4259655589337,53.03757584639999,106.07515169,3.50317195,102.57197974,WIN,TAKE_PROFIT,10710.08714902
BTCUSDT,SHORT,66804.2,68602.50474784803,0.029778287472789083,68602.50474784803,63207.590504303946,53.55043574509998,-53.55043575,4.03217978,-57.58261552,LOSS,STOP_LOSS,10652.5045335
BTCUSDT,SHORT,68262.7,64296.98087227272,0.02686146998918922,70245.55956386364,64296.98087227272,53.26252266749999,106.52504533,3.56074789,102.96429745,WIN,TAKE_PROFIT,10755.46883095
BTCUSDT,SHORT,63820.7,65867.58735404136,0.026272742390328625,65867.58735404136,59726.92529191728,53.77734415474999,-53.77734415,3.40726696,-57.18461112,LOSS,STOP_LOSS,10698.28421983
SOLUSDT,SHORT,77.94,83.19509893860067,10.178956043288819,83.19509893860067,67.42980212279865,53.491421099149996,-53.4914211,1.64018709,-55.13160819,LOSS,STOP_LOSS,10643.15261164
ETHUSDT,LONG,1943.19,2024.4055587614318,1.3104819783243662,1902.582220619284,2024.4055587614318,53.21576305819999,106.43152612,5.19946248,101.23206364,WIN,TAKE_PROFIT,10744.38467528
ETHUSDT,LONG,2067.5,2013.7243582168528,0.9990010643301307,2013.7243582168528,2175.0512835662944,53.72192337639999,-53.72192338,4.07714748,-57.79907085,LOSS,STOP_LOSS,10686.58560443
BTCUSDT,SHORT,67977.3,69271.88698640518,0.041274111808062494,69271.88698640518,65388.126027189646,53.43292802214999,-53.43292802,5.66483829,-59.09776631,LOSS,STOP_LOSS,10627.48783812
ETHUSDT,SHORT,2029.48,2066.512400588747,1.4348904836254959,2066.512400588747,1955.4151988225065,53.13743919059999,-53.13743919,5.87730052,-59.01473971,LOSS,STOP_LOSS,10568.47309841
ETHUSDT,LONG,2055.9,2000.385401396133,0.9518643171522253,2000.385401396133,2166.9291972077344,52.842365492049986,-52.84236549,3.86103333,-56.70339883,LOSS,STOP_LOSS,10511.76969958
BTCUSDT,SHORT,68872.4,69575.5368481383,0.07474910273449525,69575.5368481383,67466.12630372337,52.55884849789998,-52.5588485,10.34885905,-62.90770755,LOSS,STOP_LOSS,10448.86199203
SOLUSDT,SHORT,84.23,81.44931689479921,37.57660113260356,85.62034155260041,81.44931689479921,52.24430996014998,104.48861992,6.22566561,98.26295431,WIN,TAKE_PROFIT,10547.12494634
BTCUSDT,SHORT,66883.0,67607.96308353671,0.07274249672746115,67607.96308353671,65433.07383292656,52.73562473169997,-52.73562473,9.78320844,-62.51883317,LOSS,STOP_LOSS,10484.60611317
SOLUSDT,SHORT,81.08,77.89202415447429,32.88797224698243,82.67398792276285,77.89202415447429,52.42303056584998,104.84606113,5.22826752,99.61779361,WIN,TAKE_PROFIT,10584.22390678
BTCUSDT,SHORT,65712.8,66851.06205337371,0.0464929138040283,66851.06205337371,63436.27589325259,52.921119533899976,-52.92111953,6.16328021,-59.08439975,LOSS,STOP_LOSS,10525.13950703
BTCUSDT,LONG,66820.8,67893.89650095323,0.09808194787403228,66284.25174952339,67893.89650095323,52.625697535149975,105.25139507,13.21307984,92.03831523,WIN,TAKE_PROFIT,10617.17782226
SOLUSDT,LONG,84.89,86.67897671109482,59.3477699089917,83.99551164445259,86.67897671109482,53.08588911129998,106.17177822,10.18223615,95.98954207,WIN,TAKE_PROFIT,10713.16736433
