symbol,side,entry_price,exit_price,quantity,stop,target,risk_usdt,gross_pnl,fee_usdt,pnl,result,close_reason,balance_after
BTCUSDT,SHORT,87961.2,86551.25939723552,0.07092497357968795,88666.17030138224,86551.25939723552,50.0,100.0,12.37729157,87.62270843,WIN,TAKE_PROFIT,10087.62270843
BTCUSDT,SHORT,85301.1,83196.83951112369,0.047939039685228536,86353.23024443816,83196.83951112369,50.438113542150006,100.87622708,8.07762941,92.79859768,WIN,TAKE_PROFIT,10180.42130611
BTCUSDT,SHORT,81988.5,83459.44676367403,0.03460499576708684,83459.44676367403,79046.60647265194,50.90210653055,-50.90210653,5.7253255,-56.62743203,LOSS,STOP_LOSS,10123.79387408
SOLUSDT,LONG,117.33,115.08632567230285,22.560747228566804,115.08632567230285,121.8173486553943,50.6189693704,-50.61896937,5.24348598,-55.86245535,LOSS,STOP_LOSS,10067.93141873
BTCUSDT,SHORT,82586.9,83983.46337584562,0.036045379654302726,83983.46337584562,79793.77324830876,50.339657093650004,-50.33965709,6.00409199,-56.34374908,LOSS,STOP_LOSS,10011.58766965
BTCUSDT,LONG,83897.3,82038.98123633342,0.026937218375539824,82038.98123633342,87613.93752733317,50.05793834825,-50.05793835,4.46986184,-54.52780019,LOSS,STOP_LOSS,9957.05986946
BTCUSDT,SHORT,81568.6,79619.8761882335,0.05109528507497396,82542.96190588326,79619.8761882335,49.7852993473,99.57059869,8.23597114,91.33462755,WIN,TAKE_PROFIT,10048.39449701
BTCUSDT,SHORT,78817.1,74835.3854893673,0.025236350999492646,80807.95725531636,74835.3854893673,50.24197248505,100.48394497,3.87762806,96.60631691,WIN,TAKE_PROFIT,10145.00081392
BTCUSDT,SHORT,74603.4,76608.60568767731,0.025296658782349785,76608.60568767731,70592.98862464537,50.7250040696,-50.72500407,3.82515851,-54.55016258,LOSS,STOP_LOSS,10090.45065134
ETHUSDT,SHORT,2219.72,2328.2197012761417,0.4649990061105717,2328.2197012761417,2002.7205974477156,50.4522532567,-50.45225326,2.11478744,-52.5670407,LOSS,STOP_LOSS,10037.88361064
BTCUSDT,LONG,78172.1,76975.9620122856,0.04195955530941898,76975.9620122856,80564.37597542883,50.1894180532,-50.18941805,6.50994369,-56.69936174,LOSS,STOP_LOSS,9981.1842489
BTCUSDT,SHORT,76642.9,73512.80119654897,0.03188776098024591,78207.9494017255,73512.80119654897,49.90592124449999,99.81184249,4.78812911,95.02371338,WIN,TAKE_PROFIT,10076.20796228
BTCUSDT,SHORT,73111.7,74857.54999036572,0.028857599501344398,74857.54999036572,69620.00001926855,50.381039811399994,-50.38103981,4.27003735,-54.65107717,LOSS,STOP_LOSS,10021.55688511
BTCUSDT,SHORT,74523.6,76573.46784819674,0.024444397461831288,76573.46784819674,70423.86430360652,50.10778442555,-50.10778443,3.69347678,-53.80126121,LOSS,STOP_LOSS,9967.7556239
BTCUSDT,SHORT,75803.5,71895.5403543932,0.0255062910772516,77757.4798228034,71895.5403543932,49.838778119500006,99.67755624,3.76725472,95.91030152,WIN,TAKE_PROFIT,10063.66592542
BTCUSDT,SHORT,72306.7,68373.2990115733,0.025585151259763426,74273.40049421335,68373.2990115733,50.3183296271,100.63665925,3.59931905,97.0373402,WIN,TAKE_PROFIT,10160.70326562
BTCUSDT,SHORT,67963.4,63712.28380105182,0.02390125978709778,70088.95809947408,63712.28380105182,50.8035163281,101.60703266,3.14721473,98.45981793,WIN,TAKE_PROFIT,10259.16308355
BTCUSDT,SHORT,63820.7,66549.88313872181,0.018795299842638606,66549.88313872181,58362.333722556374,51.29581541775,-51.29581542,2.4503542,-53.74616962,LOSS,STOP_LOSS,10205.41691393
BTCUSDT,SHORT,65034.4,67481.31159370652,0.020853669049953553,67481.31159370652,60140.57681258698,51.02708456964999,-51.02708457,2.76343879,-53.79052336,LOSS,STOP_LOSS,10151.62639057
ETHUSDT,LONG,1971.92,2096.3669617804835,0.815739190843151,1909.6965191097584,2096.3669617804835,50.75813195285,101.51626391,3.31866111,98.19760279,WIN,TAKE_PROFIT,10249.82399336
BTCUSDT,LONG,71181.1,69912.58682907755,0.04040093642033837,69912.58682907755,73718.12634184492,51.2491199668,-51.24911997,5.70031707,-56.94943704,LOSS,STOP_LOSS,10192.87455632
SOLUSDT,SHORT,86.21,88.41466857636675,23.116568779507087,88.41466857636675,81.8006628472665,50.9643727816,-50.96437278,4.03672316,-55.00109594,LOSS,STOP_LOSS,10137.87346038
BTCUSDT,SHORT,69100.2,70013.63487209046,0.055493137880638574,70013.63487209046,67273.33025581905,50.68936730189999,-50.6893673,7.71986322,-58.40923052,LOSS,STOP_LOSS,10079.46422986
ETHUSDT,LONG,2101.46,2068.638946856009,1.5355180995624842,2068.638946856009,2167.1021062879818,50.3973211493,-50.39732115,6.40326241,-56.80058356,LOSS,STOP_LOSS,10022.6636463
SOLUSDT,SHORT,86.19,81.09901733006444,19.68709048154525,88.73549133496778,81.09901733006444,50.113318231499996,100.22663646,3.29343402,96.93320244,WIN,TAKE_PROFIT,10119.59684874
BTCUSDT,SHORT,66883.0,67849.61744471562,0.05234540771047811,67849.61744471562,64949.76511056875,50.59798424369999,-50.59798424,7.05263379,-57.65061804,LOSS,STOP_LOSS,10061.9462307
SOLUSDT,SHORT,81.08,76.82936553929905,23.671633784855587,83.20531723035047,76.82936553929905,50.309731153499996,100.61946231,3.73797267,96.88148963,WIN,TAKE_PROFIT,10158.82772033
BTCUSDT,SHORT,65401.0,66740.69949504483,0.03791457620871191,66740.69949504483,62721.601009910344,50.79413860164999,-50.7941386,5.01009654,-55.80423514,LOSS,STOP_LOSS,10103.02348519
ETHUSDT,LONG,1953.29,1924.609056771858,1.7612781080499478,1924.609056771858,2010.651886456284,50.515117425949995,-50.51511743,6.83005871,-57.34517614,LOSS,STOP_LOSS,10045.67830905
BTCUSDT,SHORT,66061.6,66747.95372725361,0.0731814945425235,66747.95372725361,64688.8925454928,50.22839154525,-50.22839155,9.71920163,-59.94759318,LOSS,STOP_LOSS,9985.73071587
BTCUSDT,LONG,66789.9,68250.72574495846,0.06835675473500047,66059.48712752077,68250.72574495846,49.92865357934999,99.85730716,9.23093893,90.62636823,WIN,TAKE_PROFIT,10076.3570841
SOLUSDT,LONG,84.89,87.27530228145976,42.24352260265089,83.69734885927012,87.27530228145976,50.381785420499995,100.76357084,7.27286884,93.490702,WIN,TAKE_PROFIT,10169.8477861
SOLUSDT,LONG,86.7,89.19462493325464,40.767041371753635,85.45268753337268,89.19462493325464,50.849238930499986,101.69847786,7.17070345,94.52777441,WIN,TAKE_PROFIT,10264.37556051
BTCUSDT,LONG,70406.1,69621.78533924746,0.065435316169287,69621.78533924746,71974.7293215051,51.32187780254999,-51.3218778,9.16276895,-60.48464675,LOSS,STOP_LOSS,10203.89091376
ETHUSDT,SHORT,2009.78,1937.4904904480065,1.411531351782232,2045.9247547759967,1937.4904904480065,51.01945456879999,102.03890914,5.57169605,96.46721309,WIN,TAKE_PROFIT,10300.35812685
BTCUSDT,SHORT,68156.2,69018.05156826891,0.05975714674128264,69018.05156826891,66432.49686346218,51.50179063424999,-51.50179063,8.19714188,-59.69893251,LOSS,STOP_LOSS,10240.65919434
ETHUSDT,SHORT,1962.48,1999.29368795467,1.3908765683771873,1999.29368795467,1888.8526240906601,51.20329597169999,-51.20329597,5.51033819,-56.71363416,LOSS,STOP_LOSS,10183.94556018
SOLUSDT,LONG,86.23,84.69437951264288,33.15905734530514,84.69437951264288,89.30124097471423,50.91972780089999,-50.9197278,5.6676913,-56.5874191,LOSS,STOP_LOSS,10127.35814108
SOLUSDT,SHORT,84.94,86.75379045254589,27.9176630543648,86.75379045254589,81.31241909490822,50.63679070539999,-50.63679071,4.79328939,-55.4300801,LOSS,STOP_LOSS,10071.92806098
ETHUSDT,LONG,1997.57,1970.6745472115117,1.872422104247115,1970.6745472115117,2051.360905576976,50.35964030489998,-50.3596403,7.43022881,-57.78986911,LOSS,STOP_LOSS,10014.13819187
BTCUSDT,SHORT,68019.0,66552.5412804627,0.06828789694830059,68752.22935976865,66552.5412804627,50.07069095934999,100.14138192,9.18960754,90.95177438,WIN,TAKE_PROFIT,10105.08996625
ETHUSDT,SHORT,1951.15,1989.8020818685352,1.3071857294284694,1989.8020818685352,1873.8458362629299,50.525449831249986,-50.52544983,5.15155632,-55.67700615,LOSS,STOP_LOSS,10049.4129601
BTCUSDT,LONG,68407.8,67996.36588545263,0.1221266371063511,67996.36588545263,69230.66822909475,50.24706480049999,-50.2470648,16.65858207,-66.90564687,LOSS,STOP_LOSS,9982.50731323
SOLUSDT,SHORT,85.07,83.39240826684409,59.504986320186156,85.90879586657795,83.39240826684409,49.912536566149996,99.82507313,10.0243533,89.80071983,WIN,TAKE_PROFIT,10072.30803306
BTCUSDT,SHORT,67420.1,66508.65431818993,0.11050914205942675,67875.82284090504,66508.65431818993,50.36154016529999,100.72308033,14.80035174,85.92272859,WIN,TAKE_PROFIT,10158.23076165
BTCUSDT,SHORT,65444.4,66263.25525861852,0.062027022814677646,66263.25525861852,63806.68948276295,50.791153808249994,-50.79115381,8.16943374,-58.96058755,LOSS,STOP_LOSS,10099.2701741
BTCUSDT,LONG,66391.8,65645.85855572965,0.06769479194160259,65645.85855572965,67883.6828885407,50.49635087049999,-50.49635087,8.93826182,-59.43461269,LOSS,STOP_LOSS,10039.83556141
BTCUSDT,SHORT,65805.2,64189.454492053446,0.06213748088440992,66613.07275397328,64189.454492053446,50.19917780704999,100.39835561,8.07754036,92.32081526,WIN,TAKE_PROFIT,10132.15637667
BTCUSDT,SHORT,64787.3,62513.58478182411,0.0445621170834164,65924.15760908795,62513.58478182411,50.66078188334999,101.32156377,5.67279693,95.64876683,WIN,TAKE_PROFIT,10227.8051435
ETHUSDT,SHORT,1816.81,1844.0182678910162,1.87953992228903,1844.0182678910162,1762.3934642179672,51.13902571749999,-51.13902572,6.88067288,-58.0196986,LOSS,STOP_LOSS,10169.7854449
BTCUSDT,LONG,64009.5,66016.61866720424,0.050668580842136705,63005.94066639788,66016.61866720424,50.848927224499995,101.69785445,6.58823891,95.10961554,WIN,TAKE_PROFIT,10264.89506044
BTCUSDT,LONG,65403.8,67410.44485855113,0.051154518033906936,64400.47757072444,67410.44485855113,51.32447530219999,102.6489506,6.79404868,95.85490192,WIN,TAKE_PROFIT,10360.74996236
BTCUSDT,LONG,69183.9,67877.97239653466,0.03966816359064369,67877.97239653466,71795.75520693065,51.80374981179999,-51.80374981,5.43699278,-57.24074259,LOSS,STOP_LOSS,10303.50921977
SOLUSDT,LONG,88.92,86.36233758396322,20.142433878619148,86.36233758396322,94.03532483207354,51.51754609884999,-51.5175461,3.53061289,-55.04815899,LOSS,STOP_LOSS,10248.46106078
BTCUSDT,SHORT,67659.8,65897.03812810982,0.058138658568731065,68541.18093594509,65897.03812810982,51.2423053039,102.48461061,7.76481541,94.7197952,WIN,TAKE_PROFIT,10343.18085598
BTCUSDT,SHORT,65869.1,63986.38486531444,0.05493757746685038,66810.45756734279,63986.38486531444,51.715904279899995,103.43180856,7.13394576,96.2978628,WIN,TAKE_PROFIT,10439.47871878
BTCUSDT,SHORT,64003.7,64833.57444800657,0.0628979404285584,64833.57444800657,62343.95110398686,52.197393593899996,-52.19739359,8.10359921,-60.30099281,LOSS,STOP_LOSS,10379.17772597
ETHUSDT,SHORT,1874.63,1920.0679576009213,1.142126349200118,1920.0679576009213,1783.7540847981575,51.89588862985,-51.89588863,4.33402452,-56.22991315,LOSS,STOP_LOSS,10322.94781282
BTCUSDT,LONG,65634.7,67809.91167110308,0.04745721048648604,64547.094164448456,67809.91167110308,51.61473906409999,103.22947813,6.33290902,96.8965691,WIN,TAKE_PROFIT,10419.84438192
SOLUSDT,LONG,87.65,85.28465040088625,22.02601337625537,85.28465040088625,92.38069919822753,52.09922190959999,-52.09922191,3.80906092,-55.90828283,LOSS,STOP_LOSS,10363.93609909
SOLUSDT,SHORT,84.73,86.12140217373901,37.242776728024445,86.12140217373901,81.94719565252197,51.819680495449994,-51.8196805,6.36298062,-58.18266112,LOSS,STOP_LOSS,10305.75343797
ETHUSDT,LONG,2005.86,1968.9874156652845,1.3974818451045172,1968.9874156652845,2079.605168669431,51.528767189849994,-51.52876719,5.5547771,-57.08354429,LOSS,STOP_LOSS,10248.66989368
BTCUSDT,SHORT,66112.2,67170.5784290433,0.04841684983576306,67170.5784290433,63995.443141913405,51.24334946839999,-51.24334947,6.45313227,-57.69648174,LOSS,STOP_LOSS,10190.97341194
SOLUSDT,LONG,85.61,89.67376196062338,25.077682971314317,83.5781190196883,89.67376196062338,50.95486705969999,101.90973412,4.39571061,97.51402351,WIN,TAKE_PROFIT,10288.48743545
ETHUSDT,LONG,2069.36,2004.5851398293232,0.7941728788252566,2004.5851398293232,2198.909720341354,51.44243717724999,-51.44243718,3.23541674,-54.67785392,LOSS,STOP_LOSS,10233.80958153
ETHUSDT,SHORT,2006.01,1937.5151639218566,1.494099433985738,2040.2574180390716,1937.5151639218566,51.16904790764999,102.33809582,5.89201872,96.4460771,WIN,TAKE_PROFIT,10330.25565863
BTCUSDT,SHORT,66428.6,67637.90210823495,0.042711641649693835,67637.90210823495,64009.995783530125,51.65127829314999,-51.65127829,5.7262004,-57.37747869,LOSS,STOP_LOSS,10272.87817994
BTCUSDT,LONG,67692.5,70505.16649116763,0.03652362700021132,66286.16675441618,70505.16649116763,51.36439089969999,102.7287818,5.04748002,97.68130178,WIN,TAKE_PROFIT,10370.55948172
BTCUSDT,LONG,70993.7,73719.91581465861,0.038040126632522715,69630.59209267069,73719.91581465861,51.85279740859999,103.70559482,5.50492427,98.20067055,WIN,TAKE_PROFIT,10468.76015227
SOLUSDT,LONG,92.82,90.41902507276681,21.801060963876765,90.41902507276681,97.62194985446634,52.343800761349996,-52.34380076,3.99480516,-56.33860592,LOSS,STOP_LOSS,10412.42154635
BTCUSDT,LONG,73084.8,71972.1012034913,0.04678903931154073,71972.1012034913,75310.19759301742,52.06210773174999,-52.06210773,6.78707305,-58.84918078,LOSS,STOP_LOSS,10353.57236557
BTCUSDT,SHORT,72025.5,72997.85935175103,0.0532394343044333,72997.85935175103,70080.78129649795,51.76786182784999,-51.76786183,7.72096161,-59.48882344,LOSS,STOP_LOSS,10294.08354213
BTCUSDT,LONG,73122.3,72047.06989197577,0.04786921174038601,72047.06989197577,75272.76021604847,51.47041771064999,-51.47041771,6.94914331,-58.41956102,LOSS,STOP_LOSS,10235.66398111
ETHUSDT,SHORT,2098.03,2012.354640512639,1.1947033595604521,2140.867679743681,2012.354640512639,51.17831990554999,102.35663981,4.91069034,97.44594947,WIN,TAKE_PROFIT,10333.10993058
BTCUSDT,SHORT,68078.0,67038.39811361757,0.09939487476823297,68597.8009431912,67038.39811361757,51.66554965289999,103.33109931,13.42987747,89.90122184,WIN,TAKE_PROFIT,10423.01115242
ETHUSDT,SHORT,1954.01,1973.7324085206633,2.6424285709069726,1973.7324085206633,1914.5651829586732,52.11505576209999,-52.11505576,10.37877876,-62.49383452,LOSS,STOP_LOSS,10360.5173179
